Código único de usuario,Motivación para registrarse,Cómo se enteró de la plataforma,Exploró el catálogo,Ha visto contenido,Razón por no ver contenido,Tipo de contenido de interés,Modalidad de pago preferida,Qué mejorar en la plataforma,Edad,País o región,Nivel de familiaridad con streaming
USER_001,Quería apoyar el contenido local,A través de influencers o creadores de contenido,No,Sí,,Películas argentinas,Pago por ver,Recomendaciones personalizadas,35-44 años,Argentina,Baja
USER_002,Curiosidad por el catálogo,Búsqueda en internet,No,No,No encontré contenido interesante,Contenido nuevo o exclusivo,Suscripción mensual con acceso ilimitado,Recomendaciones personalizadas,35-44 años,Uruguay,Baja
USER_003,Promoción o prueba gratuita,Recomendación de un amigo o familiar,Sí,Sí,,Contenido nuevo o exclusivo,Pago por ver,Compatibilidad con dispositivos o apps,35-44 años,Turquía,Baja
USER_004,Promoción o prueba gratuita,Recomendación de un amigo o familiar,Sí,No,No encontré contenido interesante,Documentales locales,Pago por ver,Opciones de búsqueda,18-24 años,Argentina,Alta
USER_005,Quería apoyar el contenido local,A través de influencers o creadores de contenido,Sí,Sí,,Películas argentinas,Una combinación,Compatibilidad con dispositivos o apps,45+ años,Argentina,Baja
USER_006,Curiosidad por el catálogo,A través de influencers o creadores de contenido,Sí,No,No encontré contenido interesante,Series clásicas,Pago por ver,Recomendaciones personalizadas,45+ años,Chile,Baja
USER_007,Curiosidad por el catálogo,Búsqueda en internet,Sí,No,La interfaz no era intuitiva,Documentales locales,Pago por ver,Diseño o navegación,18-24 años,Argentina,Alta
USER_008,Promoción o prueba gratuita,Publicidad en televisión,Sí,Sí,,Películas argentinas,Pago por ver,Catálogo de contenido,18-24 años,Argentina,Alta
USER_009,Curiosidad por el catálogo,Recomendación de un amigo o familiar,No,No,No tuve tiempo,Series clásicas,Una combinación,Compatibilidad con dispositivos o apps,18-24 años,Turquía,Alta
USER_010,Me generó nostalgia por producciones argentinas,Publicidad en televisión,Sí,Sí,,Documentales locales,Suscripción mensual con acceso ilimitado,Compatibilidad con dispositivos o apps,45+ años,Argentina,Baja
USER_011,Quería apoyar el contenido local,Recomendación de un amigo o familiar,No,No,No tuve tiempo,Documentales locales,Una combinación,Compatibilidad con dispositivos o apps,25-34 años,Argentina,Media
USER_012,Promoción o prueba gratuita,Campaña de marketing online,Sí,Sí,,Contenido nuevo o exclusivo,Una combinación,Diseño o navegación,25-34 años,Turquía,Media
USER_013,Recomendación de un amigo/familiar,A través de influencers o creadores de contenido,Sí,Sí,,Contenido nuevo o exclusivo,Pago por ver,Opciones de búsqueda,45+ años,Argentina,Baja
USER_014,Me generó nostalgia por producciones argentinas,A través de influencers o creadores de contenido,Sí,Sí,,Series clásicas,Suscripción mensual con acceso ilimitado,Recomendaciones personalizadas,18-24 años,Argentina,Alta
USER_015,Promoción o prueba gratuita,A través de influencers o creadores de contenido,Sí,Sí,,Contenido nuevo o exclusivo,Suscripción económica con publicidad,Compatibilidad con dispositivos o apps,25-34 años,Argentina,Media
